Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
52,56,108,Te,-65781.676,8303.7221,23704.5535,3005.9209,13196.0,2417.3989,3420.465,-13011.0,625.2,0.46,0.163,5.7,1289.03,2.0617816321764804,52,56,108,2,30,6,26,0,0,8,1
53,55,108,I,-52771.0,8176.0,25614.0,876.0,11413.0,-596.9999,4098.6662,-10139.0,,,,,,,53,55,108,3,29,5,27,1,1,8,0
54,54,108,Xe,-42632.357,8074.8886,,-1009.4603,,492.0,4569.5582,,,,,,,,54,54,108,4,28,4,28,0,0,8,1
40,69,109,Zr,-45730.0,8204.0,7852.0,32057.0,2851.0,16239.0,-9964.0,10960.0,,,,,,,40,69,109,10,42,19,13,0,1,23,0
41,68,109,Nb,-56689.8,8297.1307,9108.6311,29297.0,5215.92,13029.0,-8545.0,9969.4851,,,,,,,41,68,109,9,41,18,14,1,0,23,0
42,67,109,Mo,-66659.285,8381.4163,10256.9459,27217.0,3981.3053,14403.0581,-7625.9268,7623.5438,,,,,,,42,67,109,8,40,17,15,0,1,23,0
43,66,109,Tc,-74282.828,8444.1796,11675.4977,25136.966,6431.316,10822.5021,-6792.1978,6455.6267,,,,,,,43,66,109,7,39,16,16,1,0,23,0
44,65,109,Ru,-80738.455,8496.228,13018.5259,22771.4225,5148.3692,12104.5958,-5832.5835,4260.7958,,,,,,,44,65,109,6,38,15,17,0,1,21,0
45,64,109,Rh,-84999.251,8528.1404,14278.1759,20827.2262,8039.4133,8626.818,-5137.8635,2607.2327,,,,,,,45,64,109,5,37,14,18,1,0,19,0
46,63,109,Pd,-87606.484,8544.8825,15376.466,18321.8604,6153.5865,9864.2991,-4096.8567,1112.9469,,,,,,,46,63,109,4,36,13,19,0,1,17,0
47,62,109,Ag,-88719.431,8547.9155,16455.3672,16433.6616,9183.9572,6484.1864,-3293.0765,-215.1002,,,,,,,47,62,109,3,35,12,20,1,0,15,0
48,61,109,Cd,-88504.33,8538.7646,17656.6411,14709.6188,7323.2259,8186.51,-2511.3416,-2014.8047,,,,,,,48,61,109,2,34,11,21,0,1,13,0
49,60,109,In,-86489.526,8513.1027,19065.495,12660.7683,10441.0156,4526.0742,-1843.5933,-3859.3453,,,,,,,49,60,109,1,33,10,22,1,0,11,0
50,59,109,Sn,-82630.18,8470.5183,20260.5778,10217.7971,8631.5497,5799.3233,-721.2469,-6379.194,,,,,,,50,59,109,0,32,9,23,0,1,9,0
51,58,109,Sb,-76250.986,8404.8161,21740.3741,7262.2617,11876.9636,1470.0087,964.6798,-8535.5871,,,,,,,51,58,109,1,31,8,24,1,0,9,0
